,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,Morning Star,Engulfing,Three_crows,MACD
0,HK.00388,2020-09-07 00:00:00,365.85,360.85,369.25,360.85,49.952,0.00512,6492762,2420990091.0,-2.853681518373931,371.45,0,0,0,
1,HK.00388,2020-09-08 00:00:00,364.65,358.85,365.45,352.25,49.682,0.00378,4795510,1763269139.0,-0.5542469170015242,360.85,0,0,0,
2,HK.00388,2020-09-09 00:00:00,352.85,358.45,360.85,352.65,49.628,0.00332,4213711,1537863071.0,-0.11146718684688145,358.85,0,0,0,
3,HK.00388,2020-09-10 00:00:00,360.05,354.25,362.45,354.25,49.061,0.00227,2880813,1060442175.0,-1.1717115357790455,358.45,0,0,0,
4,HK.00388,2020-09-11 00:00:00,353.85,359.85,360.85,353.85,49.817,0.0022,2783637,1023961728.0,1.5808045165843394,354.25,0,0,0,
5,HK.00388,2020-09-14 00:00:00,362.05,362.65,368.85,360.85,50.195,0.00214,2707320,1013383491.0,0.7781019869389897,359.85,0,0,0,
6,HK.00388,2020-09-15 00:00:00,362.85,361.85,365.45,360.45,50.087,0.0014,1779603,662471140.0,-0.220598373086986,362.65,0,-100,0,
7,HK.00388,2020-09-16 00:00:00,362.25,365.25,368.25,362.25,50.546,0.00169,2139899,802498553.0,0.9396158629266207,361.85,0,0,0,
8,HK.00388,2020-09-17 00:00:00,365.25,360.85,366.65,359.85,49.952,0.00211,2673720,993234649.0,-1.2046543463381183,365.25,0,0,0,
9,HK.00388,2020-09-18 00:00:00,362.45,363.45,363.45,358.85,50.303,0.0027,3422523,1270859720.0,0.720520992101972,360.85,0,0,0,
10,HK.00388,2020-09-21 00:00:00,364.65,357.85,366.05,357.85,49.547,0.00226,2865329,1059869634.0,-1.5407896546980235,363.45,0,-100,0,
11,HK.00388,2020-09-22 00:00:00,357.65,355.05,359.65,355.05,49.169,0.0026,3297242,1207409587.0,-0.7824507475199136,357.85,0,0,0,
12,HK.00388,2020-09-23 00:00:00,355.05,359.05,360.45,354.25,49.709,0.00153,1944877,714392067.0,1.1266018870581607,355.05,100,0,0,
13,HK.00388,2020-09-24 00:00:00,356.85,348.45,356.85,348.25,48.278,0.00451,5721780,2061095739.0,-2.9522350647542184,359.05,0,0,0,
14,HK.00388,2020-09-25 00:00:00,347.85,346.65,353.25,345.25,48.035,0.0033,4186161,1495913661.0,-0.516573396470085,348.45,0,0,0,
15,HK.00388,2020-09-28 00:00:00,344.45,351.45,353.65,344.45,48.683,0.00265,3364064,1210122140.0,1.3846819558632661,346.65,100,100,0,
16,HK.00388,2020-09-29 00:00:00,354.45,349.85,355.05,347.45,48.467,0.00225,2848408,1025041497.0,-0.4552567932849526,351.45,0,0,0,
17,HK.00388,2020-09-30 00:00:00,350.85,352.65,356.25,348.25,48.845,0.00246,3118842,1126906507.0,0.8003430041446203,349.85,0,0,0,
18,HK.00388,2020-10-05 00:00:00,356.85,356.85,358.25,354.05,49.412,0.00239,3027347,1105787507.0,1.1909825606125184,352.65,0,0,0,
19,HK.00388,2020-10-06 00:00:00,359.85,365.85,366.85,359.25,50.627,0.00355,4500250,1678160947.0,2.5220680958385877,356.85,0,0,0,
20,HK.00388,2020-10-07 00:00:00,368.85,367.85,368.85,362.85,50.897,0.0025,3170865,1191054102.0,0.5466721333880005,365.85,0,0,0,
21,HK.00388,2020-10-08 00:00:00,370.85,368.65,370.85,363.85,51.005,0.00183,2326474,875181617.0,0.2174799510669986,367.85,0,0,0,
22,HK.00388,2020-10-09 00:00:00,368.85,362.85,369.85,362.85,50.222,0.00195,2473918,928044361.0,-1.5733080157330679,368.65,0,0,0,
23,HK.00388,2020-10-12 00:00:00,363.25,367.65,372.65,362.85,50.87,0.00488,6191023,2337744776.0,1.3228606862339685,362.85,0,0,0,
24,HK.00388,2020-10-14 00:00:00,365.45,363.85,366.65,360.45,50.357,0.00408,5168561,1919993335.0,-1.0335917312661376,367.65,0,0,0,
25,HK.00388,2020-10-15 00:00:00,360.85,352.85,362.05,352.85,48.872,0.00408,5171806,1893240351.0,-3.0232238559846087,363.85,0,0,0,
